id_hd,xxxx,yyyy,year,Xnorm
metadc62827,2.2536387242147997,1946.356823689746,1946,96.5
metadc62828,1.5282196872270373,1948.5072964321607,1948,81.5
metadc62829,9.53406576757367,1956.769398926401,1956,52.8
metadc62830,6.340522932523728,1953.3800512768366,1953,76.75
metadc62831,4.404236538634042,1948.671953525173,1948,58.333333333333336
metadc62832,10.247212499350923,1957.6623803150032,1957,56.2
metadc62833,4.427536829414817,1956.1846226688253,1956,60.5
metadc62834,6.734821827718441,1948.4507949727965,1948,71.5
metadc62835,0.42826301390066535,1947.5306947348224,1947,62.0
metadc62836,1.3876481218475492,1956.723987948375,1956,40.6
metadc62838,7.454162491826258,1956.2238391491367,1956,53.6
metadc62839,8.295635394023671,1957.456680662373,1957,103.0
metadc62843,1.2785912642211092,1950.6843118666548,1950,69.75
metadc62844,2.1644439988829185,1956.5182443652743,1956,108.0
metadc62845,1.3583178788488244,1948.8550135888065,1948,65.0
metadc62846,9.252615405335687,1956.8918911195367,1956,58.25
metadc62847,9.307398351468418,1949.0628486428293,1949,42.857142857142854
metadc62850,9.272926897028716,1957.402400915828,1957,32.0
metadc62851,8.692130818988652,1956.729870098551,1956,65.0
metadc62853,9.43032986562539,1951.6150074089985,1951,74.75
metadc62854,10.543495887769767,1956.2110736835848,1956,59.5
metadc62856,8.424997479840068,1956.6205510134253,1956,25.4
metadc62857,4.635903253013899,1955.5858131763168,1955,36.333333333333336
metadc62859,5.56370049739384,1958.759042202012,1958,59.0
metadc62860,8.364912229930955,1956.0466550022093,1956,67.33333333333333
metadc62863,10.327939393276802,1956.7279750869889,1956,23.5
metadc62864,6.511549390735802,1955.9178985082715,1955,44.5
metadc62865,8.505261271524153,1956.956807861976,1956,51.0
metadc62866,4.20833647593585,1956.2511804665407,1956,38.0
metadc62867,1.3921355014075307,1956.671528212247,1956,85.0
metadc62868,3.4655424533123558,1956.853607416308,1956,35.833333333333336
metadc62869,4.053066277245103,1956.9612811840607,1956,66.6
metadc62870,10.26943057504377,1956.5055270288651,1956,28.0
metadc62871,4.3482292634889665,1955.528419037066,1955,32.0
metadc62872,4.5336040550948224,1955.2915114847715,1955,28.0
metadc62874,5.130765386376423,1955.4638103248988,1955,83.33333333333333
metadc62875,1.0642872117749609,1956.8352560173596,1956,58.142857142857146
metadc62877,5.489436168038892,1955.8506453301006,1955,78.5
metadc62878,9.260672932495163,1955.2068744334201,1955,26.0
metadc62879,10.319962760285259,1957.5126803146084,1957,36.25
metadc62880,6.664467132983486,1956.8204518250907,1956,52.333333333333336
metadc62881,1.09860504649134,1957.0307333851813,1957,58.75
metadc62882,0.2111779836328107,1956.428166814373,1956,69.0
metadc62883,4.234748425059879,1955.9554743090728,1955,23.0
metadc62884,2.175241090829934,1956.1642610633844,1956,45.5
metadc62885,8.516000821272238,1956.717831724444,1956,50.666666666666664
metadc62886,8.188450509775393,1955.6317615456744,1955,46.0
metadc62887,4.426266379594866,1954.887020321175,1954,60.0
metadc62890,1.6089676549030902,1954.019427018884,1954,32.0
metadc62891,4.129149265457468,1955.0971731983745,1955,58.0
metadc62893,2.2659767323037983,1956.5329899042981,1956,60.6
metadc62894,8.380098006448458,1954.6059153410172,1954,32.0
metadc62897,0.4557554902631507,1955.695756011816,1955,58.0
metadc62898,8.688541532907887,1954.1367628875792,1954,30.0
metadc62899,6.334703814662423,1954.111325446778,1954,55.0
metadc62902,1.4909375102368905,1954.403184652397,1954,32.0
metadc62904,8.314729607528163,1954.0651578364334,1954,69.0
metadc62906,1.5340993208509568,1955.0803455893201,1955,33.0
